Designator,Mid X,Mid Y,Rotation,Layer
BT1,141.8,-111.6,0.0,top
C1,132.735,-74.502651,90.0,top
M1,142.24,-72.1,270.0,top
Q1,154.1,-81.33,90.0,top
Q2,129.07,-81.87,270.0,top
Q3,154.535,-87.515,180.0,top
Q4,128.935,-87.735,180.0,top
Q5,138.835,-87.365,0.0,top
Q6,145.035,-87.335,0.0,top
R1,134.435,-92.1,180.0,top
R2,149.305,-92.1,180.0,top
R3,134.035,-85.19,90.0,top
R4,149.705,-85.09,270.0,top
R5,138.835,-79.6,270.0,top
R6,145.035,-79.6,270.0,top
RV1,151.335,-75.33,270.0,top
SW1,130.65,-99.35,180.0,top
SW2,152.95,-99.35,0.0,top
